cod_ibge,latitude,longitude,altitude,dist_cap_uf,dist_cap_fed,area_1920,area_1940,area_1950,area_1960,area_1970,area_1980,area_1985,area_1991,area_1995,area_1998,area_2000,area_2010,temp_media,temp_var,chuva_media,chuva_var
3523206,-24.1125,49.3316666667,740,281.6870608493,934.085296221,1841,1216,1184,1187,1187,1187,1187,1139.3,1005,1005.8,1003.5,1003.6,18.887500000000003,6.425000000000001,119.45,114.03333333340001
3523305,-24.2891666667,47.1744444444,55,98.7547136175,945.3592154307,NA,NA,293,294,294,294,294,252.4,252,274,273.4,273.8,21.05,6.033333333400002,168.76666666665,159.26666666670002
3523404,-23.0058333333,46.8388888889,750,63.4759779069,808.0855892252,475,441,424,425,295,295,295,323.3,323,323.3,322.5,322.2,18.8,5.666666666600001,130.79999999999998,186.66666666659998
3523503,-23.1016666667,48.6158333333,845,208.4192982684,813.7290335579,640,1043,985,988,976,976,976,982.2,982,982.2,979.9,979.8,20.2875,5.525000000000002,120.775,156.0833333334
3523602,-22.2527777778,47.8227777778,770,188.1035479401,716.6166625855,NA,531,560,562,562,562,562,565.7,565,565.7,564.2,564.2,19.616666666649998,4.766666666700001,129.725,199.21666666660002
3523701,-20.6408333333,47.2191666667,865,327.4410113989,543.2743031156,NA,NA,160,160,148,148,148,161.9,161,161.9,161.4,161.1,19.75,3.700000000000003,139.23333333335,240.86666666669998
3523800,-21.7369444444,46.975,658,203.5064011637,667.0508766217,NA,NA,NA,137,137,137,137,139,139,139,138.6,139.2,19.9,5.266666666599999,135.1,220.4
3523909,-23.2641666667,47.2991666667,583,74.6878329977,831.1681646877,701,612,638,640,640,640,640,641.6,641,641.6,640,640.8,19.81666666665,5.733333333299999,120.53333333335,151.8666666667
3524006,-23.1530555556,47.0577777778,675,61.3815958298,821.342406754,NA,NA,NA,NA,178,178,178,201,201,201,200.5,200.7,19.133333333350002,5.733333333299999,121.3166666667,170.3
3524105,-20.3394444444,47.7805555556,605,374.3905139214,504.929516155,2077,1497,725,727,727,727,727,699.8,699,699.8,697.8,705.2,22.1,3.966666666600002,136.64166666665,246.18333333329997
3524204,-20.6880555556,48.4125,493,365.860622887,545.6720050947,NA,NA,253,254,254,254,254,275,275,275,274.2,273.4,22.8666666667,4.199999999999999,124.91666666665,214.8333333333
3524303,-21.2547222222,48.3222222222,605,307.5859407561,607.4326655803,1341,936,805,677,677,677,677,708.6,708,708.6,706.7,706.6,22.12777666665,4.411113333300001,126.48332833335,213.1888766667
3524402,-23.3052777778,45.9658333333,567,73.5691580421,858.1997823631,650,444,462,463,463,463,463,461.1,461,461.1,460,459.7,19.43333333335,5.9333333332999985,122.80000000000001,180.2
3524501,-20.8822222222,49.57,545,422.6369283223,590.7924691198,NA,NA,NA,146,146,146,146,144.8,144,144.8,144.4,145.5,23.3,4.600000000000001,112.06666666665001,180.86666666669998
3524600,-24.6925,48.0022222222,33,188.0739528757,986.7539362124,NA,1701,1477,1209,1209,1209,1209,1158.7,709,709.9,708.4,704.1,20.55833333335,6.583333333300001,152.56666666665,148.7666666667
3524709,-22.7055555556,46.9858333333,584,99.887832508,773.063591637,NA,NA,NA,148,148,148,148,207.2,142,142.8,142.4,141.8,19.700000000000003,5.733333333400001,122.98333333335,179.56666666669997
3524808,-20.2688888889,50.5458333333,478,543.156069677,568.8832666234,NA,NA,2818,802,653,653,653,630.6,419,369.8,368.8,368.5,23.46666666665,4.333333333300001,117.63333333335001,181.4666666667
3524907,-23.2536111111,45.6877777778,695,102.2586990867,860.1771153003,245,205,199,200,200,200,200,184.2,184,184.2,183.7,184.3,18.55,6.166666666600001,121.8,177.79999999999998
3525003,-23.5275,46.9025,720,27.2926991467,864.4320475662,NA,NA,NA,NA,25,25,25,17.6,17,17.6,17.5,17.7,19.116666666649998,5.633333333299998,125.9,165.2
3525102,-21.0177777778,47.7638888889,590,303.2866761736,580.0475914345,625,582,551,552,552,552,552,505.7,505,504.8,503.4,502.5,21.925,4.350000000000001,135.80833333335,234.8166666667
3525201,-23.1013888889,46.7283333333,755,50.2993734196,820.2628493825,NA,NA,203,204,204,204,204,208.1,208,208.1,207.6,207.6,18.7166666667,5.700000000000001,126.61666666664999,180.1666666667
3525300,-22.2963888889,48.5577777778,522,240.9556207707,724.381067263,590,622,716,718,718,718,718,690.1,690,690.1,688.4,685.8,21.58333333335,5.0333333333,120.69999999999999,178.1333333334
3525409,-20.3111111111,47.5891666667,860,371.6507393547,502.8402853777,NA,NA,NA,NA,137,137,137,141.4,141,141.4,141,142,20.53333333335,3.5333333333,138.9333333333,248.6
3525508,-22.9302777778,46.2755555556,906,77.6812112924,810.4096512546,356,351,342,343,343,343,343,375.5,375,375.5,374.6,375.1,15.916666666649999,6.0666666667,151.8,217.5
