;coef;value
709;chefia;0,09581183936716871
710;chegada;0,0
711;cheias;-0,08925046015683645
712;cheiro;-0,0
713;chimarrão;0,005628760585365308
714;choques;-0,0
715;choupana;0,048349665378810094
716;choupanas;-0,0
717;churrasco;0,0
718;chuva;0,0
719;chuvas;-0,06551751920413908
720;chácara;0,12634023978107128
721;chácaras;0,1522151036075684
722;chás;0,0
723;chão;-0,0
724;cia;0,0
725;ciclo;0,26173189630581556
726;ciclos;-0,0
727;cidadania;-0,0
728;cidades;0,01808923962790849
729;cidadão;-0,0
730;cidadãos;0,060957434969930564
731;cientista;-0,0
732;cimento;0,2662312362600299
733;cimo;-0,09646435345109852
734;cinco;0,1935477096061709
735;cinema;0,02213795055611051
736;cipó;-0,0
737;circulação;0,0
738;circunscrição;-0,08048245712425084
739;circunstância;-0,09969064536276623
740;circunstâncias;-0,0
741;circunvizinhança;-0,05142281862531978
742;circunvizinhanças;-0,0
743;citações;-0,0
744;citla;0,0
745;citricultura;0,0
746;civilização;-0,04576944888818006
747;civis;0,0
748;clareira;0,1862011906134314
749;clareiras;0,013803492368661546
750;classe;0,0
751;classes;-0,017664425216227603
752;clima;-0,15863931560316513
753;clube;0,011940160891572345
754;clubes;0,0
755;cobertura;0,0
756;cobiça;0,0
757;cobrança;-0,02500578151601632
758;cobras;0,031793692202748636
759;coco;-0,21333218258110268
760;cognome;-0,15317860815981582
761;coisa;-0,04957633192424257
762;coisas;-0,1925735208861849
763;colaboradores;0,1898820378884763
764;colaboração;0,055652024610008725
765;colapso;0,0
766;colegas;0,0
767;coleta;-0,0
768;coletividade;-0,015897632882160017
769;coletivo;0,0
770;coletores;0,0
771;coletoria;0,0
772;colheita;-0,122427198695931
773;colheitas;0,12731143130151185
774;colina;0,18581078588156347
775;colinas;0,11109354988783965
776;colocação;0,0
777;colonizacao;0,0
778;colono;0,12075574282061911
779;colonos;0,535332312837595
780;coluna;-0,03726261016655985
781;coluvionares;-0,09418597968330479
782;colégio;0,0
783;colégios;-0,0
784;coma;0,0
785;comandante;-0,06691662660802886
786;comando;0,0
787;comarca;0,13721170016936363
788;comarcas;-0,00011757968101817197
789;combate;0,0
790;combatente;-0,0
791;combatentes;0,0
792;combates;-0,0
793;combinação;-0,07753780864276011
794;comboios;-0,006042887963647545
795;combustíveis;0,0
796;combustível;-0,0
797;comemoração;0,017477724046209387
798;comemorações;-0,0
799;comendador;0,0
800;comerciais;0,024856640531754525
801;comercialização;-0,0
802;comerciante;-0,3804265181209046
803;comerciantes;-0,14671325602387794
804;comercias;-0,0
805;comercio;-0,0
806;começo;0,081520106078314
807;comida;-0,0
808;comissão;0,31187082001375954
809;comissões;-0,0
810;comitiva;0,0
811;companheiro;0,0
812;companheiros;-0,11294687340863828
813;companhia;0,10577186247439807
814;companhias;0,15204756364106614
815;compensação;-0,0
816;complemento;-0,0
817;complexo;-0,030755060270363656
818;componentes;0,06082055661447944
819;comportamento;-0,0
820;composição;-0,05243509095440253
821;compostos;0,0
822;compra;-0,0
823;comprador;0,0
824;compradores;0,010808363827445083
825;compras;0,0
826;comprimento;-0,0
827;compromisso;-0,006450774832927189
828;compões;-0,0
829;comuna;-0,0
830;comunas;0,0
831;comunicação;0,0
832;comunicações;0,005680007784656894
833;comunidade;0,19994139429437555
834;comunidades;-0,0
835;comércio;-0,06283689053282988
836;comércios;-0,05062005652889271
837;conceição;-0,0
838;concentração;0,0
839;concessionário;0,013315859839203246
840;concessão;0,12689350513103012
841;concessões;0,0
842;conchas;0,1266313280375808
843;conclusão;-0,0
844;concretização;0,040249267237614655
845;concreto;-0,0009817233166148408
846;concurso;0,0
847;conde;0,0
848;condição;-0,030179888975633434
849;condições;0,0
850;condutores;0,0
851;confecção;-0,10324982900892131
852;confecções;-0,0
853;confiança;-0,0
854;configuração;-0,0
855;confirmação;-0,0
856;confissões;-0,0
857;conflito;-0,0
858;conflitos;-0,0
859;confluência;-0,04622533865884043
860;conformidade;0,023326420225000786
861;conforto;0,3004670292702628
862;confronto;0,10033180252309289
863;confrontos;-0,0
864;confusão;0,0
865;confusões;0,21981472801845905
866;congregação;0,0
867;conhecedor;0,0
868;conhecedores;0,0
869;conhecimento;0,13767380720308814
870;conhecimentos;-0,0
871;conjunto;0,029263856073171682
872;conjuntos;-0,0
873;conquista;0,05550338395209924
874;conquistador;-0,0
875;conquistadores;-0,0
876;conquistas;0,09574740930294712
877;conscientização;-0,0
878;consciência;0,0
879;conselheiro;-0,047005678925717116
880;conselho;0,0
881;consenso;-0,0040195726526820056
882;consequência;0,1888382383519683
883;conseqüência;-0,15709428916489646
884;conseqüências;0,0
885;conservação;-0,0
886;consideração;0,0
887;consolidação;-0,06712449909149257
888;constituição;0,07817457647945378
889;construtor;0,3013843230172924
890;construtora;0,0
891;construtores;0,04338211840944281
892;construções;0,2429405720789033
893;consulta;0,10734151379213784
894;consumidor;-0,0
895;consumidores;-0,05851557333331439
896;consumo;0,02203868740222306
897;cont;-0,01720839088470313
898;conta;0,0
899;contagem;0,0
900;contas;-0,0
901;contato;0,09491917705064712
902;contatos;-0,0
903;conterrâneos;-0,0
904;contexto;0,08645417123371624
905;continente;0,6755467746041783
906;contingente;0,08787392002747463
907;contingentes;0,0
908;continuação;0,0
909;continuidade;-0,0
910;conto;0,0
911;contos;-0,0
912;contrabandistas;-0,0
